,0,1,kmeans,Company name
0,-0.18545520102754304,-0.45131801749106354,0,Amazon
1,3.351170672758263,-1.5570995510320664,1,Apple
2,6.668519163751898,-0.5819989299028951,1,BAC
3,0.06991511786564868,0.8620997220524531,0,BASF
4,2.757831914787178,3.298887245323737,2,Blackrock
5,0.33600181087388853,-0.18124209613965733,0,Boeing
6,-3.3423557960947905,-2.6746469965130997,3,Chevron
7,0.9773512119729918,-0.5954343351631763,0,Cisco
8,-2.7047422131980214,-2.0162571710593618,3,Exxon
9,1.617282544404022,-0.922252546411996,1,Facebook
10,0.7455235714663724,0.4013258152149905,0,Ford
11,-1.1077151280126976,0.26437941233878626,0,GM
12,0.1668471084719793,-1.2001319039357332,0,Google
13,-1.1631662293180092,-0.09480928885795242,0,Honeywell
14,-1.127276465882402,-0.15233515756004784,0,Jetblue
15,1.1468943167268866,-2.1219864121551595,1,J&J
16,-0.15353345188742207,-0.7119958429212635,0,JPMorgan
17,-1.270835519624831,0.07776831724833372,0,Mastercard
18,-1.4392760842537409,4.514306094917278,2,McD
19,0.1753853180509529,-0.6856011844235987,0,Microsoft
20,-0.4703356268382943,-0.565875261717316,0,Morgan Stanley
21,-0.508152836403661,-0.249516608798014,0,Oracle
22,-0.8240371031759912,2.2367304019491265,2,PepsiCo
23,-0.21187467474332966,-0.40874848854783175,0,Samsung
24,-0.2343606751678522,-0.6440140831430212,0,Siemens
25,-1.3067252830604383,0.1352941859504291,0,TDBank
26,0.0562288675786618,0.4282155736290013,0,Unilever
27,-1.0545468756129444,0.8537953343714321,0,Visa
28,-0.3246638586487291,1.81474216131693,2,Walt Disney
29,-0.6398985957580423,0.9277196114607584,0,Wells Fargo
