,Company name,Flaring Intensity,Methane,GHG,Zero Carbon,Renewable energy,Carbon Emission,"Forest, wetland, peatlands",Plastic,Carbon Neutral,recycled product,Supplier proof,Water use,Landfill use,Paper use,Palm,Air travel,Final Rating,kmeans
0,Amazon,,,,1.0,3.0,0.0,0.0,,,,,,,,,,0,2
1,Apple,,,,2.0,5.0,5.0,,1.0,2.0,4.0,1.0,,,,,,4,0
2,BAC,,,,3.0,6.0,8.0,,,0.0,4.0,1.0,5.0,2.0,2.0,,,5,0
3,BASF,,,,,,6.0,,,2.0,,1.0,0.0,,,1.0,,2,0
4,Blackrock,,,,,6.0,,,,,,1.0,,6.0,1.0,,1.0,4,2
5,Boeing,,,2.0,2.0,2.0,,,,0.0,,,3.0,1.0,,,,3,2
6,Chevron,1.0,2.0,1.0,,,,,,,,,,,,,,1,2
7,Cisco,,,3.0,,,4.5,,2.0,,2.0,1.0,,,,,,3,0
8,Exxon,1.0,1.0,0.0,,,,,,,,,,,,,,1,2
9,Facebook,,,8.0,2.0,6.0,9.0,,,,,,,,,,,3,0
10,Ford,,,,,2.0,4.0,,,1.0,,1.0,8.0,,,,,2,1
11,GM,,,7.0,,1.0,,,,,,,2.0,,,,,2,3
12,Google,,,,,,2.0,,,5.0,3.0,,,,,,,3,2
13,Honeywell,,,1.0,,,,,,0.0,,,0.0,,,,,1,2
14,Jetblue,,,,,,0.0,,,0.0,,,,,,,,1,2
15,J&J,,,,,3.0,4.0,,3.0,3.0,2.0,,,,,,,2,0
16,JPMorgan,,,,,6.0,,,,5.0,,,,,,,,0,2
17,Mastercard,,,4.0,0.0,,,,,,,,,,,,,1,3
18,McD,,,3.0,,,,1.0,,,,1.0,,,,2.0,,4,3
19,Microsoft,,,,,3.5,3.0,,,,1.0,,1.0,,,,,3,2
20,Morgan Stanley,,,,,4.0,,,,4.0,,,,,,,,2,2
21,Oracle,,,,,,3.0,,,,,,4.0,,,,,1,1
22,PepsiCo,,,,,,,,,,,1.0,1.0,,,2.0,,2,2
23,Samsung,,,,,6.0,,,,,,,,,0.0,,,1,2
24,Siemens,,,,,,7.0,,,,,,0.0,,,,,0,0
25,TDBank,,,5.0,,,,,,,,,,,,,,0,3
26,Unilever,,,1.0,1.0,,1.0,,,,,,6.0,3.0,,,,4,1
27,Visa,,,9.0,,,,,,5.0,,,,4.0,,,,4,3
28,Walt Disney,,,6.0,,,,,,2.0,,1.0,,5.0,,,,4,3
29,Wells Fargo,,,5.0,0.0,,,,,,,,7.0,3.0,,,,4,1
